DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
20081008;0;127.1000000;128.9900000;115.0100000;116.9000000;12849880
20081009;0;127.7500000;145.0000000;121.7100000;128.5000000;63272720
20081013;0;130.0000000;136.9900000;115.2500000;117.1800000;65553028
20081014;0;130.8000000;140.5000000;128.9200000;132.9100000;92665099
20081015;0;130.8200000;131.5000000;120.5200000;122.0000000;44602280
20081016;0;110.0000000;119.8500000;103.9000000;105.5700000;101791543
20081017;0;112.2000000;113.9800000;96.4800000;103.3500000;93349841
20081020;0;107.0000000;110.7700000;105.7500000;109.5000000;72432200
20081021;0;114.0000000;120.4000000;113.1000000;117.4700000;74220564
20081022;0;113.1100000;114.7000000;105.8300000;110.0000000;106991387
20081023;0;105.0000000;110.7300000;99.8000000;103.0000000;86946447
20081024;0;99.9800000;100.0400000;84.0000000;86.6000000;60265732
20081028;0;88.0000000;94.3700000;84.5400000;92.0000000;70537712
20081029;0;98.0000000;110.2000000;96.5300000;110.0500000;86606215
20081030;0;115.0000000;133.7200000;114.2700000;129.9900000;141145330
20081031;0;126.4000000;134.3900000;121.0700000;133.5000000;112455515
20081101;0;137.1300000;149.7500000;136.2800000;140.3200000;41459236
20081105;0;155.1000000;160.0000000;136.5000000;141.5000000;81188554
20081106;0;130.5000000;134.9300000;125.6100000;127.5200000;114937774
20081107;0;123.7000000;133.0000000;122.7400000;132.7800000;77281351
20081110;0;140.0000000;145.9000000;135.0000000;135.6300000;84177743
20081111;0;131.0700000;131.3700000;116.0000000;116.5000000;78744000
20081113;0;99.9900000;112.0000000;98.0000000;108.9900000;116845548
20081114;0;118.6700000;122.0000000;106.5200000;107.0000000;76548021
20081117;0;106.2500000;109.7500000;98.5100000;100.0000000;78521517
20081118;0;96.9900000;101.9900000;92.2600000;101.4400000;120297914
20081119;0;101.9900000;102.3000000;92.1900000;99.0000000;131388655
20081120;0;90.0000000;96.4200000;88.8800000;96.2500000;126060898
20081121;0;96.0000000;101.9100000;90.2100000;91.0000000;95138525
20081124;0;95.0100000;113.4000000;91.0700000;112.4800000;136994964
20081125;0;116.0100000;124.8900000;108.3000000;109.9100000;198828324
20081126;0;109.7300000;113.8900000;108.3200000;110.5000000;99310094
20081127;0;115.5000000;121.4800000;113.2300000;117.7700000;114436189
20081128;0;119.2100000;119.4500000;113.2500000;118.3600000;85568750
20081201;0;117.2500000;117.9800000;110.2500000;111.3000000;75905360
20081202;0;104.9900000;114.2100000;103.5000000;114.0000000;104513622
20081203;0;114.0000000;115.2500000;107.5000000;109.8000000;99838388
20081204;0;110.0000000;114.2500000;105.2400000;107.1500000;110334811
20081205;0;105.0000000;108.8900000;103.5900000;105.5000000;113328731
20081208;0;112.2200000;116.9500000;110.6100000;116.5000000;122565153
20081209;0;115.8100000;115.8500000;111.3900000;112.2300000;97251604
20081210;0;113.5000000;113.9500000;111.3200000;111.9900000;74417646
20081211;0;112.0500000;115.9900000;111.5100000;114.9500000;107890207
20081212;0;110.7500000;115.5000000;109.0200000;115.2600000;118496521
20081215;0;116.3000000;118.8600000;115.8000000;116.8000000;98317803
20081216;0;115.4700000;117.4900000;114.7000000;115.5000000;62833582
20081217;0;117.7700000;117.9200000;112.1200000;113.1500000;65620854
20081218;0;112.9000000;113.7700000;105.5700000;105.7000000;105402502
20081219;0;104.0000000;105.5900000;101.6000000;105.1000000;91463082
20081222;0;105.0500000;110.6800000;103.5600000;109.9000000;87334292
20081223;0;108.0000000;115.7400000;107.4000000;115.0300000;114514663
20081224;0;114.9200000;117.3600000;110.2200000;111.1000000;85605876
20081225;0;110.5600000;111.8000000;105.5500000;106.3000000;41808263
20081226;0;107.6000000;108.3000000;102.0100000;102.6000000;45933135
20081229;0;104.3000000;107.6500000;102.8500000;103.4400000;52004557
20081230;0;105.2600000;109.2500000;101.9700000;108.6000000;44128637
20081231;0;108.4500000;108.9000000;106.6100000;107.6300000;17705843
20090111;0;115.0100000;115.0100000;110.6100000;111.5800000;37468381
20090112;0;110.8800000;115.4500000;110.7500000;113.8500000;67716875
20090113;0;112.6000000;115.7400000;111.6000000;114.1400000;60701710
20090114;0;115.1100000;117.0000000;108.0000000;108.3000000;65930486
20090115;0;106.9900000;110.6900000;105.3500000;107.1700000;93744480
20090116;0;110.0000000;111.7100000;107.5000000;107.9000000;73134309
20090119;0;110.5300000;110.8000000;103.5500000;106.0500000;72454678
20090120;0;105.3000000;108.1500000;102.8300000;105.5500000;70698870
20090121;0;103.0000000;109.3700000;102.6000000;107.9900000;80824992
20090122;0;110.0200000;110.3700000;103.3300000;103.7900000;75711080
20090123;0;103.2000000;105.7400000;99.5000000;101.4900000;63029923
20090126;0;103.0000000;111.8900000;101.6400000;111.4100000;98322559
20090127;0;111.8000000;112.2500000;107.2100000;109.5600000;104104813
20090128;0;111.0100000;114.8000000;110.0000000;114.1100000;82276619
20090129;0;114.2000000;115.6800000;112.3500000;113.8500000;70611966
20090130;0;112.9700000;118.2700000;112.0000000;114.7000000;81082561
20090202;0;113.0000000;116.7800000;111.8000000;116.7000000;62904432
20090203;0;117.0100000;118.2000000;115.7700000;117.0000000;65390826
20090204;0;118.5100000;119.6200000;116.3900000;118.3800000;79206684
20090205;0;117.0000000;118.2400000;113.1200000;113.6900000;59756922
20090206;0;115.2500000;117.3500000;113.0000000;117.0000000;66528323
20090209;0;116.6900000;127.1400000;115.8700000;126.0000000;135005667
20090210;0;125.0000000;130.9100000;123.1700000;127.7000000;142820583
20090211;0;124.9800000;129.2400000;121.8100000;124.4000000;124218397
20090212;0;124.5200000;127.9000000;119.8300000;119.9100000;105438909
